store_name,category,website,website_domain,promo_url,priority_score,discovered_via,captured_at
Khan,clothes,https://khan.ie/,khan.ie,https://khan.ie/catalog,13,common_path,2026-02-14T09:47:15+00:00
Khan,clothes,https://khan.ie/,khan.ie,https://khan.ie/leaflet,13,common_path,2026-02-14T09:47:15+00:00
Khan,clothes,https://khan.ie/,khan.ie,https://khan.ie/outlet,13,common_path,2026-02-14T09:47:15+00:00
Rocks,jewellery,https://rocks.ie/,rocks.ie,https://rocks.ie/sale,13,common_path,2026-02-14T09:47:20+00:00
Rocks,jewellery,https://rocks.ie/,rocks.ie,https://rocks.ie/sales,13,common_path,2026-02-14T09:47:20+00:00
Rocks,jewellery,https://rocks.ie/,rocks.ie,https://rocks.ie/offer,13,common_path,2026-02-14T09:47:20+00:00
Rocks,jewellery,https://rocks.ie/,rocks.ie,https://rocks.ie/promotion,13,common_path,2026-02-14T09:47:20+00:00
Rocks,jewellery,https://rocks.ie/,rocks.ie,https://rocks.ie/clearance,13,common_path,2026-02-14T09:47:20+00:00
Rocks,jewellery,https://rocks.ie/,rocks.ie,https://rocks.ie/deals,13,common_path,2026-02-14T09:47:20+00:00
Rocks,jewellery,https://rocks.ie/,rocks.ie,https://rocks.ie/weekly-ad,13,common_path,2026-02-14T09:47:20+00:00
Rocks,jewellery,https://rocks.ie/,rocks.ie,https://rocks.ie/weeklyad,13,common_path,2026-02-14T09:47:20+00:00
Rocks,jewellery,https://rocks.ie/,rocks.ie,https://rocks.ie/catalog,13,common_path,2026-02-14T09:47:20+00:00
Rocks,jewellery,https://rocks.ie/,rocks.ie,https://rocks.ie/leaflet,13,common_path,2026-02-14T09:47:20+00:00
Rocks,jewellery,https://rocks.ie/,rocks.ie,https://rocks.ie/outlet,13,common_path,2026-02-14T09:47:20+00:00
R&C McCormack,jewellery,https://celticdublin.com/,celticdublin.com,https://celticdublin.com/sale,13,common_path,2026-02-14T09:47:25+00:00
R&C McCormack,jewellery,https://celticdublin.com/,celticdublin.com,https://celticdublin.com/sales,13,common_path,2026-02-14T09:47:25+00:00
R&C McCormack,jewellery,https://celticdublin.com/,celticdublin.com,https://celticdublin.com/offer,13,common_path,2026-02-14T09:47:25+00:00
R&C McCormack,jewellery,https://celticdublin.com/,celticdublin.com,https://celticdublin.com/promotion,13,common_path,2026-02-14T09:47:25+00:00
R&C McCormack,jewellery,https://celticdublin.com/,celticdublin.com,https://celticdublin.com/clearance,13,common_path,2026-02-14T09:47:25+00:00
R&C McCormack,jewellery,https://celticdublin.com/,celticdublin.com,https://celticdublin.com/deals,13,common_path,2026-02-14T09:47:25+00:00
R&C McCormack,jewellery,https://celticdublin.com/,celticdublin.com,https://celticdublin.com/weekly-ad,13,common_path,2026-02-14T09:47:25+00:00
R&C McCormack,jewellery,https://celticdublin.com/,celticdublin.com,https://celticdublin.com/weeklyad,13,common_path,2026-02-14T09:47:25+00:00
R&C McCormack,jewellery,https://celticdublin.com/,celticdublin.com,https://celticdublin.com/catalog,13,common_path,2026-02-14T09:47:25+00:00
R&C McCormack,jewellery,https://celticdublin.com/,celticdublin.com,https://celticdublin.com/leaflet,13,common_path,2026-02-14T09:47:25+00:00
R&C McCormack,jewellery,https://celticdublin.com/,celticdublin.com,https://celticdublin.com/outlet,13,common_path,2026-02-14T09:47:25+00:00
Weavers of Ireland,clothes,https://weaversofireland.com/,weaversofireland.com,https://weaversofireland.com/collections/outlet-for-her,12,homepage_scan,2026-02-14T09:45:39+00:00
Weavers of Ireland,clothes,https://weaversofireland.com/,weaversofireland.com,https://weaversofireland.com/collections/outlet-for-the-home,12,homepage_scan,2026-02-14T09:45:39+00:00
Weavers of Ireland,clothes,https://weaversofireland.com/,weaversofireland.com,https://weaversofireland.com/blogs/blog/irish-wool-what-makes-it-special-and-why-it-s-perfect-for-march-weather,12,homepage_scan,2026-02-14T09:45:39+00:00
Weavers of Ireland,clothes,https://weaversofireland.com/,weaversofireland.com,https://weaversofireland.com/collections/outlet-for-kids,12,homepage_scan,2026-02-14T09:45:39+00:00
Weavers of Ireland,clothes,https://weaversofireland.com/,weaversofireland.com,https://weaversofireland.com/collections/jan-sale-2026,12,homepage_scan,2026-02-14T09:45:39+00:00
Weavers of Ireland,clothes,https://weaversofireland.com/,weaversofireland.com,https://weaversofireland.com/pages/express-shipping-offer,12,homepage_scan,2026-02-14T09:45:39+00:00
Weavers of Ireland,clothes,https://weaversofireland.com/,weaversofireland.com,https://weaversofireland.com/collections/outlet,12,homepage_scan,2026-02-14T09:45:39+00:00
Weavers of Ireland,clothes,https://weaversofireland.com/,weaversofireland.com,https://weaversofireland.com/collections/outlet-for-him,12,homepage_scan,2026-02-14T09:45:39+00:00
IKEA,home appliances,https://www.ikea.com/ie/en/,www.ikea.com,https://www.ikea.com/ie/en/ideas/tips-for-more-sustainable-living/smart-solutions-to-save-water-at-home-pub59724200/,12,homepage_scan,2026-02-14T09:46:47+00:00
IKEA,home appliances,https://www.ikea.com/ie/en/,www.ikea.com,https://www.ikea.com/ie/en/ideas/tips-for-more-sustainable-living/quick-tricks-to-save-energy-at-home-pubd7c144e0/,12,homepage_scan,2026-02-14T09:46:47+00:00
Harvey Norman,home appliances,https://www.harveynorman.ie/,www.harveynorman.ie,https://www.harveynorman.ie/clearance/small-appliances-clearance/,12,homepage_scan,2026-02-14T09:46:59+00:00
Harvey Norman,home appliances,https://www.harveynorman.ie/,www.harveynorman.ie,https://www.harveynorman.ie/5-day-mattress-sale.html,12,homepage_scan,2026-02-14T09:46:59+00:00
Harvey Norman,home appliances,https://www.harveynorman.ie/,www.harveynorman.ie,https://www.harveynorman.ie/dyson-10-gift-card-hair-care-offer/,12,homepage_scan,2026-02-14T09:46:59+00:00
Rocks,jewellery,https://rocks.ie/,rocks.ie,https://rocks.ie/collections/jewellery-and-watches-sale-items/products/damiani-round-brilliant-three-stone-diamond-ring-0-66ct,12,homepage_scan,2026-02-14T09:47:20+00:00
Rocks,jewellery,https://rocks.ie/,rocks.ie,https://rocks.ie/collections/jewellery-and-watches-sale-items,12,homepage_scan,2026-02-14T09:47:20+00:00
